اسم الموديل,التصنيف,الموفر (Provider),الرابط المباشر
NVIDIA: Nemotron 3 Nano 30B A3B,كتابة (Text),N/A,https://openrouter.ai/nvidia/nemotron-3-nano-30b-a3b
OpenAI: GPT-5.2 Chat,كتابة (Text),N/A,https://openrouter.ai/openai/gpt-5.2-chat
OpenAI: GPT-5.2 Pro,كتابة (Text),N/A,https://openrouter.ai/openai/gpt-5.2-pro
OpenAI: GPT-5.2,كتابة (Text),N/A,https://openrouter.ai/openai/gpt-5.2
Mistral: Devstral 2 2512,كتابة (Text),N/A,https://openrouter.ai/mistralai/devstral-2512
Sourceful: Riverflow V2 Max Preview,صور (Image),N/A,https://openrouter.ai/sourceful/riverflow-v2-max-preview
Sourceful: Riverflow V2 Standard Preview,صور (Image),N/A,https://openrouter.ai/sourceful/riverflow-v2-standard-preview
Sourceful: Riverflow V2 Fast Preview,صور (Image),N/A,https://openrouter.ai/sourceful/riverflow-v2-fast-preview
Relace: Relace Search,كتابة (Text),N/A,https://openrouter.ai/relace/relace-search
Z.ai: GLM 4.6V,كتابة (Text),N/A,https://openrouter.ai/z-ai/glm-4.6v
Nex AGI: DeepSeek V3.1 Nex N1,كتابة (Text),N/A,https://openrouter.ai/nex-agi/deepseek-v3.1-nex-n1
EssentialAI: Rnj 1 Instruct,كتابة (Text),N/A,https://openrouter.ai/essentialai/rnj-1-instruct
OpenAI: GPT-5.1-Codex-Max,كتابة (Text),N/A,https://openrouter.ai/openai/gpt-5.1-codex-max
Amazon: Nova 2 Lite,كتابة (Text),N/A,https://openrouter.ai/amazon/nova-2-lite-v1
Mistral: Ministral 3 14B 2512,كتابة (Text),N/A,https://openrouter.ai/mistralai/ministral-14b-2512
Mistral: Ministral 3 8B 2512,كتابة (Text),N/A,https://openrouter.ai/mistralai/ministral-8b-2512
Mistral: Ministral 3 3B 2512,كتابة (Text),N/A,https://openrouter.ai/mistralai/ministral-3b-2512
Mistral: Mistral Large 3 2512,كتابة (Text),N/A,https://openrouter.ai/mistralai/mistral-large-2512
Arcee AI: Trinity Mini,كتابة (Text),N/A,https://openrouter.ai/arcee-ai/trinity-mini
DeepSeek: DeepSeek V3.2 Speciale,كتابة (Text),N/A,https://openrouter.ai/deepseek/deepseek-v3.2-speciale
DeepSeek: DeepSeek V3.2,كتابة (Text),N/A,https://openrouter.ai/deepseek/deepseek-v3.2
Prime Intellect: INTELLECT-3,كتابة (Text),N/A,https://openrouter.ai/prime-intellect/intellect-3
Black Forest Labs: FLUX.2 Flex,صور (Image),N/A,https://openrouter.ai/black-forest-labs/flux.2-flex
Black Forest Labs: FLUX.2 Pro,صور (Image),N/A,https://openrouter.ai/black-forest-labs/flux.2-pro
Anthropic: Claude Opus 4.5,كتابة (Text),N/A,https://openrouter.ai/anthropic/claude-opus-4.5
AllenAI: Olmo 3 32B Think,كتابة (Text),N/A,https://openrouter.ai/allenai/olmo-3-32b-think
Google: Nano Banana Pro (Gemini 3 Pro Image Preview),صور (Image),N/A,https://openrouter.ai/google/gemini-3-pro-image-preview
xAI: Grok 4.1 Fast,كتابة (Text),N/A,https://openrouter.ai/x-ai/grok-4.1-fast
Thenlper: GTE-Base,إحداثيات (Embeddings),N/A,https://openrouter.ai/thenlper/gte-base
Thenlper: GTE-Large,إحداثيات (Embeddings),N/A,https://openrouter.ai/thenlper/gte-large
Intfloat: E5-Large-v2,إحداثيات (Embeddings),N/A,https://openrouter.ai/intfloat/e5-large-v2
Intfloat: E5-Base-v2,إحداثيات (Embeddings),N/A,https://openrouter.ai/intfloat/e5-base-v2
Intfloat: Multilingual-E5-Large,إحداثيات (Embeddings),N/A,https://openrouter.ai/intfloat/multilingual-e5-large
Sentence Transformers: paraphrase-MiniLM-L6-v2,إحداثيات (Embeddings),N/A,https://openrouter.ai/sentence-transformers/paraphrase-minilm-l6-v2
Sentence Transformers: all-MiniLM-L12-v2,إحداثيات (Embeddings),N/A,https://openrouter.ai/sentence-transformers/all-minilm-l12-v2
BAAI: bge-base-en-v1.5,إحداثيات (Embeddings),N/A,https://openrouter.ai/baai/bge-base-en-v1.5
Sentence Transformers: multi-qa-mpnet-base-dot-v1,إحداثيات (Embeddings),N/A,https://openrouter.ai/sentence-transformers/multi-qa-mpnet-base-dot-v1
BAAI: bge-large-en-v1.5,إحداثيات (Embeddings),N/A,https://openrouter.ai/baai/bge-large-en-v1.5
BAAI: bge-m3,إحداثيات (Embeddings),N/A,https://openrouter.ai/baai/bge-m3
Sentence Transformers: all-mpnet-base-v2,إحداثيات (Embeddings),N/A,https://openrouter.ai/sentence-transformers/all-mpnet-base-v2
Sentence Transformers: all-MiniLM-L6-v2,إحداثيات (Embeddings),N/A,https://openrouter.ai/sentence-transformers/all-minilm-l6-v2
Deep Cogito: Cogito v2.1 671B,كتابة (Text),N/A,https://openrouter.ai/deepcogito/cogito-v2.1-671b
OpenAI: GPT-5.1,كتابة (Text),N/A,https://openrouter.ai/openai/gpt-5.1
OpenAI: GPT-5.1 Chat,كتابة (Text),N/A,https://openrouter.ai/openai/gpt-5.1-chat
OpenAI: GPT-5.1-Codex,كتابة (Text),N/A,https://openrouter.ai/openai/gpt-5.1-codex
OpenAI: GPT-5.1-Codex-Mini,كتابة (Text),N/A,https://openrouter.ai/openai/gpt-5.1-codex-mini
MoonshotAI: Kimi K2 Thinking,كتابة (Text),N/A,https://openrouter.ai/moonshotai/kimi-k2-thinking
Amazon: Nova Premier 1.0,كتابة (Text),N/A,https://openrouter.ai/amazon/nova-premier-v1
Mistral: Mistral Embed 2312,إحداثيات (Embeddings),N/A,https://openrouter.ai/mistralai/mistral-embed-2312
Google: Gemini Embedding 001,إحداثيات (Embeddings),N/A,https://openrouter.ai/google/gemini-embedding-001
OpenAI: Text Embedding Ada 002,إحداثيات (Embeddings),N/A,https://openrouter.ai/openai/text-embedding-ada-002
Mistral: Codestral Embed 2505,إحداثيات (Embeddings),N/A,https://openrouter.ai/mistralai/codestral-embed-2505
OpenAI: Text Embedding 3 Large,إحداثيات (Embeddings),N/A,https://openrouter.ai/openai/text-embedding-3-large
OpenAI: Text Embedding 3 Small,إحداثيات (Embeddings),N/A,https://openrouter.ai/openai/text-embedding-3-small
Perplexity: Sonar Pro Search,كتابة (Text),N/A,https://openrouter.ai/perplexity/sonar-pro-search
Mistral: Voxtral Small 24B 2507,كتابة (Text),N/A,https://openrouter.ai/mistralai/voxtral-small-24b-2507
OpenAI: gpt-oss-safeguard-20b,كتابة (Text),N/A,https://openrouter.ai/openai/gpt-oss-safeguard-20b
Qwen: Qwen3 Embedding 8B,إحداثيات (Embeddings),N/A,https://openrouter.ai/qwen/qwen3-embedding-8b
NVIDIA: Nemotron Nano 12B 2 VL (free),كتابة (Text),N/A,https://openrouter.ai/nvidia/nemotron-nano-12b-v2-vl:free
NVIDIA: Nemotron Nano 12B 2 VL,كتابة (Text),N/A,https://openrouter.ai/nvidia/nemotron-nano-12b-v2-vl
Qwen: Qwen3 Embedding 4B,إحداثيات (Embeddings),N/A,https://openrouter.ai/qwen/qwen3-embedding-4b
MiniMax: MiniMax M2,كتابة (Text),N/A,https://openrouter.ai/minimax/minimax-m2
Qwen: Qwen3 VL 32B Instruct,كتابة (Text),N/A,https://openrouter.ai/qwen/qwen3-vl-32b-instruct
IBM: Granite 4.0 Micro,كتابة (Text),N/A,https://openrouter.ai/ibm-granite/granite-4.0-h-micro
OpenAI: GPT-5 Image Mini,صور (Image),N/A,https://openrouter.ai/openai/gpt-5-image-mini
Anthropic: Claude Haiku 4.5,كتابة (Text),N/A,https://openrouter.ai/anthropic/claude-haiku-4.5
Qwen: Qwen3 VL 8B Thinking,كتابة (Text),N/A,https://openrouter.ai/qwen/qwen3-vl-8b-thinking
Qwen: Qwen3 VL 8B Instruct,كتابة (Text),N/A,https://openrouter.ai/qwen/qwen3-vl-8b-instruct
OpenAI: GPT-5 Image,صور (Image),N/A,https://openrouter.ai/openai/gpt-5-image
OpenAI: o3 Deep Research,كتابة (Text),N/A,https://openrouter.ai/openai/o3-deep-research
OpenAI: o4 Mini Deep Research,كتابة (Text),N/A,https://openrouter.ai/openai/o4-mini-deep-research
NVIDIA: Llama 3.3 Nemotron Super 49B V1.5,كتابة (Text),N/A,https://openrouter.ai/nvidia/llama-3.3-nemotron-super-49b-v1.5
Baidu: ERNIE 4.5 21B A3B Thinking,كتابة (Text),N/A,https://openrouter.ai/baidu/ernie-4.5-21b-a3b-thinking
Google: Nano Banana (Gemini 2.5 Flash Image),صور (Image),N/A,https://openrouter.ai/google/gemini-2.5-flash-image
Qwen: Qwen3 VL 30B A3B Thinking,كتابة (Text),N/A,https://openrouter.ai/qwen/qwen3-vl-30b-a3b-thinking
Qwen: Qwen3 VL 30B A3B Instruct,كتابة (Text),N/A,https://openrouter.ai/qwen/qwen3-vl-30b-a3b-instruct
OpenAI: GPT-5 Pro,كتابة (Text),N/A,https://openrouter.ai/openai/gpt-5-pro
Z.ai: GLM 4.6,كتابة (Text),N/A,https://openrouter.ai/z-ai/glm-4.6
Anthropic: Claude Sonnet 4.5,كتابة (Text),N/A,https://openrouter.ai/anthropic/claude-sonnet-4.5
DeepSeek: DeepSeek V3.2 Exp,كتابة (Text),N/A,https://openrouter.ai/deepseek/deepseek-v3.2-exp
TheDrummer: Cydonia 24B V4.1,كتابة (Text),N/A,https://openrouter.ai/thedrummer/cydonia-24b-v4.1
Relace: Relace Apply 3,كتابة (Text),N/A,https://openrouter.ai/relace/relace-apply-3
Google: Gemini 2.5 Flash Lite Preview 09-2025,كتابة (Text),N/A,https://openrouter.ai/google/gemini-2.5-flash-lite-preview-09-2025
Qwen: Qwen3 VL 235B A22B Thinking,كتابة (Text),N/A,https://openrouter.ai/qwen/qwen3-vl-235b-a22b-thinking
Qwen: Qwen3 VL 235B A22B Instruct,كتابة (Text),N/A,https://openrouter.ai/qwen/qwen3-vl-235b-a22b-instruct
Qwen: Qwen3 Max,كتابة (Text),N/A,https://openrouter.ai/qwen/qwen3-max
Qwen: Qwen3 Coder Plus,كتابة (Text),N/A,https://openrouter.ai/qwen/qwen3-coder-plus
OpenAI: GPT-5 Codex,كتابة (Text),N/A,https://openrouter.ai/openai/gpt-5-codex
DeepSeek: DeepSeek V3.1 Terminus,كتابة (Text),N/A,https://openrouter.ai/deepseek/deepseek-v3.1-terminus
xAI: Grok 4 Fast,كتابة (Text),N/A,https://openrouter.ai/x-ai/grok-4-fast
Tongyi DeepResearch 30B A3B,كتابة (Text),N/A,https://openrouter.ai/alibaba/tongyi-deepresearch-30b-a3b
Qwen: Qwen3 Coder Flash,كتابة (Text),N/A,https://openrouter.ai/qwen/qwen3-coder-flash
Qwen: Qwen3 Next 80B A3B Thinking,كتابة (Text),N/A,https://openrouter.ai/qwen/qwen3-next-80b-a3b-thinking
Qwen: Qwen3 Next 80B A3B Instruct (free),كتابة (Text),N/A,https://openrouter.ai/qwen/qwen3-next-80b-a3b-instruct:free
Qwen: Qwen3 Next 80B A3B Instruct,كتابة (Text),N/A,https://openrouter.ai/qwen/qwen3-next-80b-a3b-instruct
Qwen: Qwen Plus 0728 (thinking),كتابة (Text),N/A,https://openrouter.ai/qwen/qwen-plus-2025-07-28:thinking
Qwen: Qwen Plus 0728,كتابة (Text),N/A,https://openrouter.ai/qwen/qwen-plus-2025-07-28
NVIDIA: Nemotron Nano 9B V2 (free),كتابة (Text),N/A,https://openrouter.ai/nvidia/nemotron-nano-9b-v2:free
NVIDIA: Nemotron Nano 9B V2,كتابة (Text),N/A,https://openrouter.ai/nvidia/nemotron-nano-9b-v2
MoonshotAI: Kimi K2 0905,كتابة (Text),N/A,https://openrouter.ai/moonshotai/kimi-k2-0905
Qwen: Qwen3 30B A3B Thinking 2507,كتابة (Text),N/A,https://openrouter.ai/qwen/qwen3-30b-a3b-thinking-2507
xAI: Grok Code Fast 1,كتابة (Text),N/A,https://openrouter.ai/x-ai/grok-code-fast-1
Nous: Hermes 4 70B,كتابة (Text),N/A,https://openrouter.ai/nousresearch/hermes-4-70b
Nous: Hermes 4 405B,كتابة (Text),N/A,https://openrouter.ai/nousresearch/hermes-4-405b
DeepSeek: DeepSeek V3.1,كتابة (Text),N/A,https://openrouter.ai/deepseek/deepseek-chat-v3.1
OpenAI: GPT-4o Audio,كتابة (Text),N/A,https://openrouter.ai/openai/gpt-4o-audio-preview
Mistral: Mistral Medium 3.1,كتابة (Text),N/A,https://openrouter.ai/mistralai/mistral-medium-3.1
Baidu: ERNIE 4.5 21B A3B,كتابة (Text),N/A,https://openrouter.ai/baidu/ernie-4.5-21b-a3b
Baidu: ERNIE 4.5 VL 28B A3B,كتابة (Text),N/A,https://openrouter.ai/baidu/ernie-4.5-vl-28b-a3b
Z.ai: GLM 4.5V,كتابة (Text),N/A,https://openrouter.ai/z-ai/glm-4.5v
AI21: Jamba Large 1.7,كتابة (Text),N/A,https://openrouter.ai/ai21/jamba-large-1.7
OpenAI: GPT-5 Chat,كتابة (Text),N/A,https://openrouter.ai/openai/gpt-5-chat
OpenAI: GPT-5,كتابة (Text),N/A,https://openrouter.ai/openai/gpt-5
OpenAI: GPT-5 Mini,كتابة (Text),N/A,https://openrouter.ai/openai/gpt-5-mini
OpenAI: GPT-5 Nano,كتابة (Text),N/A,https://openrouter.ai/openai/gpt-5-nano
OpenAI: gpt-oss-120b (free),كتابة (Text),N/A,https://openrouter.ai/openai/gpt-oss-120b:free
OpenAI: gpt-oss-120b,كتابة (Text),N/A,https://openrouter.ai/openai/gpt-oss-120b
OpenAI: gpt-oss-20b (free),كتابة (Text),N/A,https://openrouter.ai/openai/gpt-oss-20b:free
OpenAI: gpt-oss-20b,كتابة (Text),N/A,https://openrouter.ai/openai/gpt-oss-20b
Anthropic: Claude Opus 4.1,كتابة (Text),N/A,https://openrouter.ai/anthropic/claude-opus-4.1
Mistral: Codestral 2508,كتابة (Text),N/A,https://openrouter.ai/mistralai/codestral-2508
Qwen: Qwen3 Coder 30B A3B Instruct,كتابة (Text),N/A,https://openrouter.ai/qwen/qwen3-coder-30b-a3b-instruct
Qwen: Qwen3 30B A3B Instruct 2507,كتابة (Text),N/A,https://openrouter.ai/qwen/qwen3-30b-a3b-instruct-2507
Z.ai: GLM 4.5,كتابة (Text),N/A,https://openrouter.ai/z-ai/glm-4.5
Z.ai: GLM 4.5 Air (free),كتابة (Text),N/A,https://openrouter.ai/z-ai/glm-4.5-air:free
Z.ai: GLM 4.5 Air,كتابة (Text),N/A,https://openrouter.ai/z-ai/glm-4.5-air
Qwen: Qwen3 235B A22B Thinking 2507,كتابة (Text),N/A,https://openrouter.ai/qwen/qwen3-235b-a22b-thinking-2507
Z.ai: GLM 4 32B,كتابة (Text),N/A,https://openrouter.ai/z-ai/glm-4-32b
Qwen: Qwen3 Coder 480B A35B (free),كتابة (Text),N/A,https://openrouter.ai/qwen/qwen3-coder:free
Qwen: Qwen3 Coder 480B A35B,كتابة (Text),N/A,https://openrouter.ai/qwen/qwen3-coder
ByteDance: UI-TARS 7B,كتابة (Text),N/A,https://openrouter.ai/bytedance/ui-tars-1.5-7b
Google: Gemini 2.5 Flash Lite,كتابة (Text),N/A,https://openrouter.ai/google/gemini-2.5-flash-lite
Qwen: Qwen3 235B A22B Instruct 2507,كتابة (Text),N/A,https://openrouter.ai/qwen/qwen3-235b-a22b-2507
Switchpoint Router,كتابة (Text),N/A,https://openrouter.ai/switchpoint/router
MoonshotAI: Kimi K2 0711,كتابة (Text),N/A,https://openrouter.ai/moonshotai/kimi-k2
Mistral: Devstral Medium,كتابة (Text),N/A,https://openrouter.ai/mistralai/devstral-medium
Mistral: Devstral Small 1.1,كتابة (Text),N/A,https://openrouter.ai/mistralai/devstral-small
Venice: Uncensored (free),كتابة (Text),N/A,https://openrouter.ai/cognitivecomputations/dolphin-mistral-24b-venice-edition:free
xAI: Grok 4,كتابة (Text),N/A,https://openrouter.ai/x-ai/grok-4
Google: Gemma 3n 2B (free),كتابة (Text),N/A,https://openrouter.ai/google/gemma-3n-e2b-it:free
Tencent: Hunyuan A13B Instruct,كتابة (Text),N/A,https://openrouter.ai/tencent/hunyuan-a13b-instruct
TNG: DeepSeek R1T2 Chimera,كتابة (Text),N/A,https://openrouter.ai/tngtech/deepseek-r1t2-chimera
Morph: Morph V3 Large,كتابة (Text),N/A,https://openrouter.ai/morph/morph-v3-large
Morph: Morph V3 Fast,كتابة (Text),N/A,https://openrouter.ai/morph/morph-v3-fast
Baidu: ERNIE 4.5 VL 424B A47B,كتابة (Text),N/A,https://openrouter.ai/baidu/ernie-4.5-vl-424b-a47b
Baidu: ERNIE 4.5 300B A47B,كتابة (Text),N/A,https://openrouter.ai/baidu/ernie-4.5-300b-a47b
Mistral: Mistral Small 3.2 24B,كتابة (Text),N/A,https://openrouter.ai/mistralai/mistral-small-3.2-24b-instruct
MiniMax: MiniMax M1,كتابة (Text),N/A,https://openrouter.ai/minimax/minimax-m1
Google: Gemini 2.5 Flash,كتابة (Text),N/A,https://openrouter.ai/google/gemini-2.5-flash
